
#InteractionArea; Distance; Width; OffsetX; OffsetY
#dialogueFile; actorData/dictionary/dialogueFile
#transition; fromStatus; toStatus
#tags; ActorTag ...

#sensorStatus;sensorStatusName	;onInteractionTriggerType ;interactionTargetStatus	;on---SensorTT;on---SensorTT;onInRangeTT	;inRangeStatus	;on---SensorTT;on---SensorTT;onIntersectionTT	;intersectionStatus;on---SensorTT;on---SensorTT;onUpdate			;UpdateToStatus;on---SensorTT;on---SensorTT	;onMonitor;on---SensorTT;onTextBox;on---SensorTT
sensorStatus	;default										;none																					;none  	 																;none 								;none 								;none								;none										;none 								;none 								;none													;none														;none 								;none 								;none							;none										;none 								;none 									;none					;none 								;none;none

tags; automated_door_relevant; player

#status 																;name   				;spritename  																								;blocker	;heightLayer		;fps	;totalFrames		;cols;rows;frameWidth	;frameHeight	;hitboxOffsetX	;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning ;duration ;velocity ;dialogueID ;AnimationEnds
default-NORTH											;player					;../actorData/character/orange_north	;true				;1												;0			;0												;00			;00	;00									;000									;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
default-NORTH-MOVING				;player					;person/orangeNorth_64_128_a8								;true				;1												;10		;6												;06			;01	;64									;128									;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
default-SOUTH											;player					;person/orange_woman/front											;true				;1												;0			;0												;00			;00	;00									;000									;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
default-SOUTH-MOVING				;player					;person/orange_woman/front_a8								;true				;1												;10		;8												;08			;01	;64									;128									;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
default-EAST												;player					;person/orange_woman/east												;true				;1												;0			;0												;00			;00	;00									;000									;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
default-EAST-MOVING					;player					;person/orange_woman/east_a10								;true				;1												;12		;10											;10			;01	;64									;128									;10												;84												;44										;44											;whitelight;0         ;300						;none							;false
default-WEST												;player					;person/orange_woman/west												;true				;1												;0			;0												;00			;00	;00									;000									;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
default-WEST-MOVING					;player					;person/orange_woman/left_a10								;true				;1												;12		;10											;10			;01	;64									;128									;10												;84												;44										;44											;whitelight;0         ;300						;none							;false

#default-SOUTH											;player					;person/orangeFront_64_128										;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
#default-SOUTH-MOVING				;player					;person/orangeFront_64_128_a8							;true				;1												;10		;8												;8			;1			;64									;128									;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
#default-EAST												;player					;person/orange_east																	;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
#default-EAST-MOVING					;player					;person/orange_east_a10													;true				;1												;12		;10												;10			;1			;64									;128									;10												;84												;44										;44											;whitelight;0         ;300						;none							;false
#default-WEST												;player					;person/orangeWestStand_64_128						;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight;0        ;300						;none							;false
#default-WEST-MOVING					;player					;person/orange_west_a10													;true				;1												;12		;10												;10			;1			;64									;128									;10												;84												;44										;44											;whitelight;0         ;300						;none							;false
